2026/09/25 01:17:33.360, 0, 2070 MHz, 3996 MHz, 238.46 W, 34, 0 %, 0x0000000000000000
2026/09/25 01:17:33.366, 1, 2070 MHz, 3996 MHz, 234.39 W, 34, 0 %, 0x0000000000000000
2026/09/25 01:17:33.369, 2, 2070 MHz, 3996 MHz, 233.55 W, 33, 0 %, 0x0000000000000000
2026/09/25 01:17:33.372, 3, 2070 MHz, 3996 MHz, 234.19 W, 34, 0 %, 0x0000000000000000
2026/09/25 01:17:33.575, 0, 2070 MHz, 3996 MHz, 238.53 W, 34, 0 %, 0x0000000000000000
2026/09/25 01:17:33.575, 1, 2070 MHz, 3996 MHz, 234.55 W, 34, 6 %, 0x0000000000000000
2026/09/25 01:17:33.575, 2, 2070 MHz, 3996 MHz, 233.24 W, 33, 1 %, 0x0000000000000000
2026/09/25 01:17:33.575, 3, 2070 MHz, 3996 MHz, 234.13 W, 34, 0 %, 0x0000000000000000
2026/09/25 01:17:33.775, 0, 2070 MHz, 3996 MHz, 238.23 W, 34, 0 %, 0x0000000000000000
2026/09/25 01:17:33.775, 1, 2070 MHz, 3996 MHz, 234.55 W, 34, 0 %, 0x0000000000000000
2026/09/25 01:17:33.775, 2, 2070 MHz, 3996 MHz, 232.79 W, 33, 0 %, 0x0000000000000000
2026/09/25 01:17:33.775, 3, 2070 MHz, 3996 MHz, 233.48 W, 34, 0 %, 0x0000000000000000
2026/09/25 01:17:33.975, 0, 2070 MHz, 3996 MHz, 237.52 W, 34, 0 %, 0x0000000000000000
2026/09/25 01:17:33.975, 1, 2070 MHz, 3996 MHz, 234.55 W, 34, 0 %, 0x0000000000000000
2026/09/25 01:17:33.975, 2, 2070 MHz, 3996 MHz, 232.28 W, 33, 0 %, 0x0000000000000000
2026/09/25 01:17:33.975, 3, 2070 MHz, 3996 MHz, 233.12 W, 34, 0 %, 0x0000000000000000
2026/09/25 01:17:34.175, 0, 2070 MHz, 3996 MHz, 237.68 W, 34, 0 %, 0x0000000000000000
2026/09/25 01:17:34.175, 1, 2070 MHz, 3996 MHz, 234.70 W, 34, 0 %, 0x0000000000000000
