2026/09/25 01:20:41.226, 0, 2070 MHz, 3996 MHz, 238.30 W, 34, 0 %, 0x0000000000000000
2026/09/25 01:20:41.233, 1, 2070 MHz, 3996 MHz, 234.39 W, 34, 0 %, 0x0000000000000000
2026/09/25 01:20:41.236, 2, 2070 MHz, 3996 MHz, 233.69 W, 34, 0 %, 0x0000000000000000
2026/09/25 01:20:41.239, 3, 2070 MHz, 3996 MHz, 233.90 W, 34, 0 %, 0x0000000000000000
2026/09/25 01:20:41.442, 0, 2070 MHz, 3996 MHz, 238.22 W, 34, 5 %, 0x0000000000000000
2026/09/25 01:20:41.442, 1, 2070 MHz, 3996 MHz, 234.47 W, 34, 0 %, 0x0000000000000000
2026/09/25 01:20:41.442, 2, 2070 MHz, 3996 MHz, 233.77 W, 34, 0 %, 0x0000000000000000
2026/09/25 01:20:41.442, 3, 2070 MHz, 3996 MHz, 233.59 W, 34, 0 %, 0x0000000000000000
2026/09/25 01:20:41.642, 0, 2070 MHz, 3996 MHz, 237.67 W, 34, 0 %, 0x0000000000000000
2026/09/25 01:20:41.642, 1, 2070 MHz, 3996 MHz, 234.47 W, 34, 5 %, 0x0000000000000000
2026/09/25 01:20:41.642, 2, 2070 MHz, 3996 MHz, 233.32 W, 34, 0 %, 0x0000000000000000
2026/09/25 01:20:41.642, 3, 2070 MHz, 3996 MHz, 233.34 W, 34, 0 %, 0x0000000000000000
2026/09/25 01:20:41.842, 0, 2070 MHz, 3996 MHz, 237.62 W, 34, 0 %, 0x0000000000000000
2026/09/25 01:20:41.842, 1, 2070 MHz, 3996 MHz, 234.47 W, 34, 0 %, 0x0000000000000000
2026/09/25 01:20:41.842, 2, 2070 MHz, 3996 MHz, 232.91 W, 34, 0 %, 0x0000000000000000
2026/09/25 01:20:41.842, 3, 2070 MHz, 3996 MHz, 233.05 W, 34, 0 %, 0x0000000000000000
2026/09/25 01:20:42.042, 0, 2070 MHz, 3996 MHz, 237.75 W, 34, 0 %, 0x0000000000000000
2026/09/25 01:20:42.042, 1, 2070 MHz, 3996 MHz, 235.24 W, 34, 0 %, 0x0000000000000000
2026/09/25 01:20:42.042, 2, 2070 MHz, 3996 MHz, 233.17 W, 34, 0 %, 0x0000000000000000
2026/09/25 01:20:42.042, 3, 2070 MHz, 3996 MHz, 233.45 W, 34, 0 %, 0x0000000000000000
2026/09/25 01:20:42.242, 0, 2070 MHz, 3996 MHz, 237.69 W, 34, 0 %, 0x0000000000000000
2026/09/25 01:20:42.242, 1, 2070 MHz, 3996 MHz, 235.26 W, 34, 0 %, 0x0000000000000000
2026/09/25 01:20:42.242, 2, 2070 MHz, 3996 MHz, 233.32 W, 34, 0 %, 0x0000000000000000
2026/09/25 01:20:42.242, 3, 2070 MHz, 3996 MHz, 233.49 W, 34, 0 %, 0x0000000000000000
