2026/09/25 01:29:02.973, 0, 2070 MHz, 3996 MHz, 238.53 W, 34, 0 %, 0x0000000000000000
2026/09/25 01:29:02.980, 1, 2070 MHz, 3996 MHz, 234.39 W, 34, 0 %, 0x0000000000000000
2026/09/25 01:29:02.983, 2, 2070 MHz, 3996 MHz, 234.08 W, 34, 0 %, 0x0000000000000000
2026/09/25 01:29:02.987, 3, 2070 MHz, 3996 MHz, 234.37 W, 34, 0 %, 0x0000000000000000
2026/09/25 01:29:03.190, 0, 2070 MHz, 3996 MHz, 238.45 W, 34, 4 %, 0x0000000000000000
2026/09/25 01:29:03.190, 1, 2070 MHz, 3996 MHz, 234.39 W, 34, 4 %, 0x0000000000000000
2026/09/25 01:29:03.190, 2, 2070 MHz, 3996 MHz, 234.00 W, 34, 0 %, 0x0000000000000000
2026/09/25 01:29:03.190, 3, 2070 MHz, 3996 MHz, 234.30 W, 34, 4 %, 0x0000000000000000
2026/09/25 01:29:03.390, 0, 2070 MHz, 3996 MHz, 237.91 W, 34, 0 %, 0x0000000000000000
2026/09/25 01:29:03.390, 1, 2070 MHz, 3996 MHz, 234.39 W, 34, 0 %, 0x0000000000000000
2026/09/25 01:29:03.390, 2, 2070 MHz, 3996 MHz, 233.47 W, 34, 0 %, 0x0000000000000000
2026/09/25 01:29:03.390, 3, 2070 MHz, 3996 MHz, 233.85 W, 34, 0 %, 0x0000000000000000
2026/09/25 01:29:03.590, 0, 2070 MHz, 3996 MHz, 237.44 W, 34, 0 %, 0x0000000000000000
2026/09/25 01:29:03.590, 1, 2070 MHz, 3996 MHz, 234.55 W, 34, 0 %, 0x0000000000000000
2026/09/25 01:29:03.590, 2, 2070 MHz, 3996 MHz, 232.99 W, 34, 0 %, 0x0000000000000000
2026/09/25 01:29:03.590, 3, 2070 MHz, 3996 MHz, 233.24 W, 34, 0 %, 0x0000000000000000
2026/09/25 01:29:03.791, 0, 2070 MHz, 3996 MHz, 237.54 W, 34, 0 %, 0x0000000000000000
2026/09/25 01:29:03.791, 1, 2070 MHz, 3996 MHz, 234.55 W, 34, 0 %, 0x0000000000000000
2026/09/25 01:29:03.791, 2, 2070 MHz, 3996 MHz, 233.09 W, 34, 0 %, 0x0000000000000000
2026/09/25 01:29:03.791, 3, 2070 MHz, 3996 MHz, 233.44 W, 34, 0 %, 0x0000000000000000
