2026/09/25 01:14:31.192, 0, 2070 MHz, 3996 MHz, 237.08 W, 33, 0 %, 0x0000000000000000
2026/09/25 01:14:31.200, 1, 2070 MHz, 3996 MHz, 234.37 W, 33, 0 %, 0x0000000000000000
2026/09/25 01:14:31.203, 2, 2070 MHz, 3996 MHz, 233.15 W, 33, 0 %, 0x0000000000000000
2026/09/25 01:14:31.206, 3, 2070 MHz, 3996 MHz, 233.28 W, 33, 0 %, 0x0000000000000000
2026/09/25 01:14:31.409, 0, 2070 MHz, 3996 MHz, 237.31 W, 33, 1 %, 0x0000000000000000
2026/09/25 01:14:31.409, 1, 2070 MHz, 3996 MHz, 234.68 W, 33, 1 %, 0x0000000000000000
2026/09/25 01:14:31.409, 2, 2070 MHz, 3996 MHz, 233.47 W, 33, 0 %, 0x0000000000000000
2026/09/25 01:14:31.409, 3, 2070 MHz, 3996 MHz, 233.31 W, 33, 0 %, 0x0000000000000000
2026/09/25 01:14:31.609, 0, 2070 MHz, 3996 MHz, 237.08 W, 33, 0 %, 0x0000000000000000
2026/09/25 01:14:31.609, 1, 2070 MHz, 3996 MHz, 234.68 W, 33, 0 %, 0x0000000000000000
2026/09/25 01:14:31.609, 2, 2070 MHz, 3996 MHz, 233.09 W, 33, 0 %, 0x0000000000000000
2026/09/25 01:14:31.609, 3, 2070 MHz, 3996 MHz, 232.86 W, 33, 0 %, 0x0000000000000000
2026/09/25 01:14:31.809, 0, 2070 MHz, 3996 MHz, 236.81 W, 33, 0 %, 0x0000000000000000
2026/09/25 01:14:31.810, 1, 2070 MHz, 3996 MHz, 234.69 W, 33, 0 %, 0x0000000000000000
2026/09/25 01:14:31.810, 2, 2070 MHz, 3996 MHz, 232.83 W, 33, 0 %, 0x0000000000000000
2026/09/25 01:14:31.810, 3, 2070 MHz, 3996 MHz, 232.32 W, 33, 0 %, 0x0000000000000000
2026/09/25 01:14:32.010, 0, 2070 MHz, 3996 MHz, 237.23 W, 33, 0 %, 0x0000000000000000
2026/09/25 01:14:32.010, 1, 2070 MHz, 3996 MHz, 234.92 W, 33, 0 %, 0x0000000000000000
2026/09/25 01:14:32.010, 2, 2070 MHz, 3996 MHz, 232.81 W, 33, 0 %, 0x0000000000000000
2026/09/25 01:14:32.010, 3, 2070 MHz, 3996 MHz, 232.90 W, 33, 0 %, 0x0000000000000000
2026/09/25 01:14:32.210, 0, 2070 MHz, 3996 MHz, 236.97 W, 33, 0 %, 0x0000000000000000
2026/09/25 01:14:32.210, 1, 2070 MHz, 3996 MHz, 234.93 W, 33, 0 %, 0x0000000000000000
2026/09/25 01:14:32.210, 2, 2070 MHz, 3996 MHz, 232.67 W, 33, 0 %, 0x0000000000000000
2026/09/25 01:14:32.210, 3, 2070 MHz, 3996 MHz, 232.66 W, 33, 0 %, 0x0000000000000000
2026/09/25 01:14:32.410, 0, 2070 MHz, 3996 MHz, 236.89 W, 33, 16 %, 0x0000000000000000
2026/09/25 01:14:32.410, 1, 2070 MHz, 3996 MHz, 234.77 W, 33, 18 %, 0x0000000000000000
2026/09/25 01:14:32.410, 2, 2070 MHz, 3996 MHz, 232.41 W, 33, 0 %, 0x0000000000000000
2026/09/25 01:14:32.410, 3, 2070 MHz, 3996 MHz, 232.51 W, 33, 0 %, 0x0000000000000000
2026/09/25 01:14:32.610, 0, 2070 MHz, 3996 MHz, 237.05 W, 33, 0 %, 0x0000000000000000
2026/09/25 01:14:32.610, 1, 2070 MHz, 3996 MHz, 234.77 W, 33, 0 %, 0x0000000000000000
2026/09/25 01:14:32.610, 2, 2070 MHz, 3996 MHz, 232.83 W, 33, 0 %, 0x0000000000000000
