2026/09/25 01:23:21.004, 0, 2070 MHz, 3996 MHz, 237.28 W, 33, 0 %, 0x0000000000000000
2026/09/25 01:23:21.012, 1, 2070 MHz, 3996 MHz, 234.39 W, 34, 0 %, 0x0000000000000000
2026/09/25 01:23:21.015, 2, 2070 MHz, 3996 MHz, 233.93 W, 34, 0 %, 0x0000000000000000
2026/09/25 01:23:21.018, 3, 2070 MHz, 3996 MHz, 233.62 W, 33, 0 %, 0x0000000000000000
2026/09/25 01:23:21.221, 0, 2070 MHz, 3996 MHz, 237.36 W, 33, 0 %, 0x0000000000000000
2026/09/25 01:23:21.221, 1, 2070 MHz, 3996 MHz, 234.47 W, 34, 0 %, 0x0000000000000000
2026/09/25 01:23:21.221, 2, 2070 MHz, 3996 MHz, 233.93 W, 34, 0 %, 0x0000000000000000
2026/09/25 01:23:21.221, 3, 2070 MHz, 3996 MHz, 233.72 W, 33, 0 %, 0x0000000000000000
2026/09/25 01:23:21.421, 0, 2070 MHz, 3996 MHz, 236.90 W, 33, 0 %, 0x0000000000000000
2026/09/25 01:23:21.421, 1, 2070 MHz, 3996 MHz, 234.47 W, 34, 0 %, 0x0000000000000000
2026/09/25 01:23:21.421, 2, 2070 MHz, 3996 MHz, 233.40 W, 34, 0 %, 0x0000000000000000
2026/09/25 01:23:21.422, 3, 2070 MHz, 3996 MHz, 233.38 W, 33, 2 %, 0x0000000000000000
2026/09/25 01:23:21.622, 0, 2070 MHz, 3996 MHz, 237.17 W, 33, 0 %, 0x0000000000000000
2026/09/25 01:23:21.622, 1, 2070 MHz, 3996 MHz, 234.47 W, 34, 0 %, 0x0000000000000000
2026/09/25 01:23:21.622, 2, 2070 MHz, 3996 MHz, 232.75 W, 34, 0 %, 0x0000000000000000
2026/09/25 01:23:21.622, 3, 2070 MHz, 3996 MHz, 232.80 W, 33, 0 %, 0x0000000000000000
2026/09/25 01:23:21.822, 0, 2070 MHz, 3996 MHz, 237.10 W, 33, 0 %, 0x0000000000000000
2026/09/25 01:23:21.822, 1, 2070 MHz, 3996 MHz, 234.55 W, 34, 0 %, 0x0000000000000000
2026/09/25 01:23:21.822, 2, 2070 MHz, 3996 MHz, 232.67 W, 34, 0 %, 0x0000000000000000
2026/09/25 01:23:21.822, 3, 2070 MHz, 3996 MHz, 232.80 W, 33, 0 %, 0x0000000000000000
2026/09/25 01:23:22.022, 0, 2070 MHz, 3996 MHz, 236.96 W, 33, 0 %, 0x0000000000000000
2026/09/25 01:23:22.022, 1, 2070 MHz, 3996 MHz, 234.55 W, 34, 0 %, 0x0000000000000000
2026/09/25 01:23:22.022, 2, 2070 MHz, 3996 MHz, 232.63 W, 34, 0 %, 0x0000000000000000
2026/09/25 01:23:22.022, 3, 2070 MHz, 3996 MHz, 232.96 W, 33, 0 %, 0x0000000000000000
2026/09/25 01:23:22.222, 0, 2070 MHz, 3996 MHz, 236.96 W, 33, 25 %, 0x0000000000000000
2026/09/25 01:23:22.222, 1, 2070 MHz, 3996 MHz, 234.62 W, 34, 0 %, 0x0000000000000000
2026/09/25 01:23:22.222, 2, 2070 MHz, 3996 MHz, 232.63 W, 34, 0 %, 0x0000000000000000
2026/09/25 01:23:22.222, 3, 2070 MHz, 3996 MHz, 233.02 W, 33, 0 %, 0x0000000000000000
