2026/09/25 01:25:55.797, 0, 2070 MHz, 3996 MHz, 236.71 W, 33, 0 %, 0x0000000000000000
2026/09/25 01:25:55.805, 1, 2070 MHz, 3996 MHz, 234.39 W, 33, 0 %, 0x0000000000000000
2026/09/25 01:25:55.808, 2, 2070 MHz, 3996 MHz, 232.63 W, 33, 0 %, 0x0000000000000000
2026/09/25 01:25:55.811, 3, 2070 MHz, 3996 MHz, 232.02 W, 33, 0 %, 0x0000000000000000
2026/09/25 01:25:56.014, 0, 2070 MHz, 3996 MHz, 237.14 W, 33, 0 %, 0x0000000000000000
2026/09/25 01:25:56.014, 1, 2070 MHz, 3996 MHz, 234.47 W, 33, 0 %, 0x0000000000000000
2026/09/25 01:25:56.014, 2, 2070 MHz, 3996 MHz, 232.44 W, 33, 2 %, 0x0000000000000000
2026/09/25 01:25:56.014, 3, 2070 MHz, 3996 MHz, 232.09 W, 33, 0 %, 0x0000000000000000
2026/09/25 01:25:56.214, 0, 2070 MHz, 3996 MHz, 236.67 W, 33, 1 %, 0x0000000000000000
2026/09/25 01:25:56.214, 1, 2070 MHz, 3996 MHz, 234.24 W, 33, 0 %, 0x0000000000000000
2026/09/25 01:25:56.214, 2, 2070 MHz, 3996 MHz, 232.05 W, 33, 0 %, 0x0000000000000000
2026/09/25 01:25:56.214, 3, 2070 MHz, 3996 MHz, 231.78 W, 33, 0 %, 0x0000000000000000
2026/09/25 01:25:56.414, 0, 2070 MHz, 3996 MHz, 236.20 W, 33, 0 %, 0x0000000000000000
2026/09/25 01:25:56.414, 1, 2070 MHz, 3996 MHz, 234.01 W, 33, 0 %, 0x0000000000000000
2026/09/25 01:25:56.414, 2, 2070 MHz, 3996 MHz, 231.66 W, 33, 0 %, 0x0000000000000000
2026/09/25 01:25:56.414, 3, 2070 MHz, 3996 MHz, 232.17 W, 33, 0 %, 0x0000000000000000
2026/09/25 01:25:56.614, 0, 2070 MHz, 3996 MHz, 236.25 W, 33, 0 %, 0x0000000000000000
2026/09/25 01:25:56.615, 1, 2070 MHz, 3996 MHz, 234.31 W, 33, 0 %, 0x0000000000000000
2026/09/25 01:25:56.615, 2, 2070 MHz, 3996 MHz, 232.02 W, 33, 0 %, 0x0000000000000000
2026/09/25 01:25:56.615, 3, 2070 MHz, 3996 MHz, 232.45 W, 33, 0 %, 0x0000000000000000
2026/09/25 01:25:56.815, 0, 2070 MHz, 3996 MHz, 236.36 W, 33, 0 %, 0x0000000000000000
2026/09/25 01:25:56.815, 1, 2070 MHz, 3996 MHz, 234.32 W, 33, 0 %, 0x0000000000000000
2026/09/25 01:25:56.815, 2, 2070 MHz, 3996 MHz, 232.28 W, 33, 0 %, 0x0000000000000000
2026/09/25 01:25:56.815, 3, 2070 MHz, 3996 MHz, 232.70 W, 33, 0 %, 0x0000000000000000
2026/09/25 01:25:57.015, 0, 2070 MHz, 3996 MHz, 236.16 W, 33, 0 %, 0x0000000000000000
2026/09/25 01:25:57.015, 1, 2070 MHz, 3996 MHz, 234.39 W, 33, 0 %, 0x0000000000000000
2026/09/25 01:25:57.015, 2, 2070 MHz, 3996 MHz, 232.40 W, 33, 0 %, 0x0000000000000000
2026/09/25 01:25:57.015, 3, 2070 MHz, 3996 MHz, 233.00 W, 33, 0 %, 0x0000000000000000
2026/09/25 01:25:57.215, 0, 2070 MHz, 3996 MHz, 236.35 W, 33, 0 %, 0x0000000000000000
2026/09/25 01:25:57.215, 1, 2070 MHz, 3996 MHz, 234.62 W, 33, 0 %, 0x0000000000000000
2026/09/25 01:25:57.215, 2, 2070 MHz, 3996 MHz, 232.67 W, 33, 0 %, 0x0000000000000000
2026/09/25 01:25:57.215, 3, 2070 MHz, 3996 MHz, 233.15 W, 33, 0 %, 0x0000000000000000
2026/09/25 01:25:57.415, 0, 2070 MHz, 3996 MHz, 236.82 W, 33, 0 %, 0x0000000000000000
2026/09/25 01:25:57.415, 1, 2070 MHz, 3996 MHz, 235.80 W, 34, 0 %, 0x0000000000000000
2026/09/25 01:25:57.415, 2, 2070 MHz, 3996 MHz, 233.68 W, 33, 1 %, 0x0000000000000000
2026/09/25 01:25:57.415, 3, 2070 MHz, 3996 MHz, 233.61 W, 33, 4 %, 0x0000000000000000
2026/09/25 01:25:57.615, 0, 2070 MHz, 3996 MHz, 236.43 W, 33, 1 %, 0x0000000000000000
2026/09/25 01:25:57.615, 1, 2070 MHz, 3996 MHz, 235.62 W, 33, 1 %, 0x0000000000000000
2026/09/25 01:25:57.615, 2, 2070 MHz, 3996 MHz, 233.24 W, 33, 0 %, 0x0000000000000000
