pid,first_utc,last_utc,amd_smi_gpus
2449242,2026-09-25T07:12:58Z,2026-09-25T07:15:45Z,0 1 2 3 4 5 6 7
2450002,2026-09-25T07:13:03Z,2026-09-25T07:15:39Z,0 1 2 3 4 5 6 7
2450003,2026-09-25T07:13:03Z,2026-09-25T07:15:39Z,0 1 2 3 4 5 6 7
2450004,2026-09-25T07:13:03Z,2026-09-25T07:15:39Z,0 1 2 3 4 5 6 7
2450005,2026-09-25T07:13:03Z,2026-09-25T07:15:39Z,0 1 2 3 4 5 6 7
2450006,2026-09-25T07:13:03Z,2026-09-25T07:15:39Z,0 1 2 3 4 5 6 7
2464163,2026-09-25T07:14:47Z,2026-09-25T07:14:47Z,0 1 2 3 4 5 6 7
2471709,2026-09-25T07:15:55Z,2026-09-25T07:18:41Z,0 1 2 3 4 5 6 7
2474202,2026-09-25T07:16:00Z,2026-09-25T07:18:36Z,0 1 2 3 4 5 6 7
2474203,2026-09-25T07:16:00Z,2026-09-25T07:18:36Z,0 1 2 3 4 5 6 7
2474204,2026-09-25T07:16:00Z,2026-09-25T07:18:36Z,0 1 2 3 4 5 6 7
2474205,2026-09-25T07:16:00Z,2026-09-25T07:18:36Z,0 1 2 3 4 5 6 7
2474206,2026-09-25T07:16:00Z,2026-09-25T07:18:36Z,0 1 2 3 4 5 6 7
2497691,2026-09-25T07:18:52Z,2026-09-25T07:21:02Z,0 1 2 3 4 5 6 7
2499205,2026-09-25T07:19:02Z,2026-09-25T07:20:57Z,0 1 2 3 4 5 6 7
2499206,2026-09-25T07:19:02Z,2026-09-25T07:20:57Z,0 1 2 3 4 5 6 7
2499207,2026-09-25T07:19:02Z,2026-09-25T07:20:57Z,0 1 2 3 4 5 6 7
2499208,2026-09-25T07:19:02Z,2026-09-25T07:20:57Z,0 1 2 3 4 5 6 7
2499209,2026-09-25T07:19:02Z,2026-09-25T07:20:57Z,0 1 2 3 4 5 6 7
2512381,2026-09-25T07:20:00Z,2026-09-25T07:20:00Z,0 1 2 3 4 5 6 7
2526607,2026-09-25T07:21:07Z,2026-09-25T07:23:17Z,0 1 2 3 4 5 6 7
2527809,2026-09-25T07:21:17Z,2026-09-25T07:23:12Z,0 1 2 3 4 5 6 7
2527810,2026-09-25T07:21:17Z,2026-09-25T07:23:12Z,0 1 2 3 4 5 6 7
2527811,2026-09-25T07:21:17Z,2026-09-25T07:23:12Z,0 1 2 3 4 5 6 7
2527812,2026-09-25T07:21:17Z,2026-09-25T07:23:12Z,0 1 2 3 4 5 6 7
2527813,2026-09-25T07:21:17Z,2026-09-25T07:23:12Z,0 1 2 3 4 5 6 7
2529241,2026-09-25T07:21:17Z,2026-09-25T07:21:17Z,0
2550104,2026-09-25T07:23:23Z,2026-09-25T07:25:33Z,0 1 2 3 4 5 6 7
2551098,2026-09-25T07:23:33Z,2026-09-25T07:25:27Z,0 1 2 3 4 5 6 7
2551099,2026-09-25T07:23:33Z,2026-09-25T07:25:27Z,0 1 2 3 4 5 6 7
2551100,2026-09-25T07:23:33Z,2026-09-25T07:25:27Z,0 1 2 3 4 5 6 7
2551101,2026-09-25T07:23:33Z,2026-09-25T07:25:27Z,0 1 2 3 4 5 6 7
2551102,2026-09-25T07:23:33Z,2026-09-25T07:25:27Z,0 1 2 3 4 5 6 7
2568862,2026-09-25T07:25:38Z,2026-09-25T07:27:43Z,0 1 2 3 4 5 6 7
2571140,2026-09-25T07:25:49Z,2026-09-25T07:27:38Z,0 1 2 3 4 5 6 7
2571141,2026-09-25T07:25:49Z,2026-09-25T07:27:38Z,0 1 2 3 4 5 6 7
2571142,2026-09-25T07:25:49Z,2026-09-25T07:27:38Z,0 1 2 3 4 5 6 7
2571143,2026-09-25T07:25:49Z,2026-09-25T07:27:38Z,0 1 2 3 4 5 6 7
2571144,2026-09-25T07:25:49Z,2026-09-25T07:27:38Z,0 1 2 3 4 5 6 7
2588605,2026-09-25T07:27:48Z,2026-09-25T07:29:53Z,0 1 2 3 4 5 6 7
2589292,2026-09-25T07:27:59Z,2026-09-25T07:29:48Z,0 1 2 3 4 5 6 7
2589293,2026-09-25T07:27:59Z,2026-09-25T07:29:48Z,0 1 2 3 4 5 6 7
2589294,2026-09-25T07:27:59Z,2026-09-25T07:29:48Z,0 1 2 3 4 5 6 7
2589295,2026-09-25T07:27:59Z,2026-09-25T07:29:48Z,0 1 2 3 4 5 6 7
2589296,2026-09-25T07:27:59Z,2026-09-25T07:29:48Z,0 1 2 3 4 5 6 7
2590576,2026-09-25T07:27:59Z,2026-09-25T07:27:59Z,0
2590580,2026-09-25T07:27:59Z,2026-09-25T07:27:59Z,0
2590585,2026-09-25T07:27:59Z,2026-09-25T07:27:59Z,0
2590603,2026-09-25T07:27:59Z,2026-09-25T07:27:59Z,0 1 2 3 4 5 6 7
2606888,2026-09-25T07:29:58Z,2026-09-25T07:32:03Z,0 1 2 3 4 5 6 7
2607656,2026-09-25T07:30:09Z,2026-09-25T07:31:58Z,0 1 2 3 4 5 6 7
2607657,2026-09-25T07:30:09Z,2026-09-25T07:31:58Z,0 1 2 3 4 5 6 7
2607658,2026-09-25T07:30:09Z,2026-09-25T07:31:58Z,0 1 2 3 4 5 6 7
2607659,2026-09-25T07:30:09Z,2026-09-25T07:31:58Z,0 1 2 3 4 5 6 7
2607660,2026-09-25T07:30:09Z,2026-09-25T07:31:58Z,0 1 2 3 4 5 6 7
