pid,first_utc,last_utc,amd_smi_gpus
2783179,2026-09-25T07:48:24Z,2026-09-25T07:50:30Z,0 1 2 3 4 5 6 7
2784614,2026-09-25T07:48:30Z,2026-09-25T07:50:24Z,0 1 2 3 4 5 6 7
2784615,2026-09-25T07:48:30Z,2026-09-25T07:50:24Z,0 1 2 3 4 5 6 7
2784616,2026-09-25T07:48:30Z,2026-09-25T07:50:24Z,0 1 2 3 4 5 6 7
2784617,2026-09-25T07:48:30Z,2026-09-25T07:50:24Z,0 1 2 3 4 5 6 7
2784618,2026-09-25T07:48:30Z,2026-09-25T07:50:24Z,0 1 2 3 4 5 6 7
2809127,2026-09-25T07:50:35Z,2026-09-25T07:52:35Z,0 1 2 3 4 5 6 7
2812157,2026-09-25T07:50:45Z,2026-09-25T07:52:30Z,0 1 2 3 4 5 6 7
2812158,2026-09-25T07:50:45Z,2026-09-25T07:52:30Z,0 1 2 3 4 5 6 7
2812159,2026-09-25T07:50:45Z,2026-09-25T07:52:30Z,0 1 2 3 4 5 6 7
2812160,2026-09-25T07:50:45Z,2026-09-25T07:52:30Z,0 1 2 3 4 5 6 7
2812161,2026-09-25T07:50:45Z,2026-09-25T07:52:30Z,0 1 2 3 4 5 6 7
2832368,2026-09-25T07:52:45Z,2026-09-25T07:54:50Z,0 1 2 3 4 5 6 7
2833681,2026-09-25T07:52:51Z,2026-09-25T07:54:45Z,0 1 2 3 4 5 6 7
2833682,2026-09-25T07:52:51Z,2026-09-25T07:54:45Z,0 1 2 3 4 5 6 7
2833683,2026-09-25T07:52:51Z,2026-09-25T07:54:45Z,0 1 2 3 4 5 6 7
2833684,2026-09-25T07:52:51Z,2026-09-25T07:54:45Z,0 1 2 3 4 5 6 7
2833685,2026-09-25T07:52:51Z,2026-09-25T07:54:45Z,0 1 2 3 4 5 6 7
2852121,2026-09-25T07:55:01Z,2026-09-25T07:57:06Z,0 1 2 3 4 5 6 7
2853057,2026-09-25T07:55:06Z,2026-09-25T07:57:01Z,0 1 2 3 4 5 6 7
2853058,2026-09-25T07:55:06Z,2026-09-25T07:57:01Z,0 1 2 3 4 5 6 7
2853059,2026-09-25T07:55:06Z,2026-09-25T07:57:01Z,0 1 2 3 4 5 6 7
2853060,2026-09-25T07:55:06Z,2026-09-25T07:57:01Z,0 1 2 3 4 5 6 7
2853062,2026-09-25T07:55:06Z,2026-09-25T07:56:55Z,0 1 2 3 4 5 6 7
2871627,2026-09-25T07:57:11Z,2026-09-25T07:59:11Z,0 1 2 3 4 5 6 7
2873626,2026-09-25T07:57:11Z,2026-09-25T07:57:11Z,0 1 2 3 4 5 6 7
2873935,2026-09-25T07:57:16Z,2026-09-25T07:59:06Z,0 1 2 3 4 5 6 7
2873936,2026-09-25T07:57:16Z,2026-09-25T07:59:06Z,0 1 2 3 4 5 6 7
2873937,2026-09-25T07:57:16Z,2026-09-25T07:59:06Z,0 1 2 3 4 5 6 7
2873938,2026-09-25T07:57:16Z,2026-09-25T07:59:06Z,0 1 2 3 4 5 6 7
2873934,2026-09-25T07:57:21Z,2026-09-25T07:59:06Z,0 1 2 3 4 5 6 7
2891830,2026-09-25T07:59:22Z,2026-09-25T08:01:27Z,0 1 2 3 4 5 6 7
2892575,2026-09-25T07:59:22Z,2026-09-25T07:59:22Z,0 1 2 3 4 5 6 7
2892654,2026-09-25T07:59:27Z,2026-09-25T08:01:21Z,0 1 2 3 4 5 6 7
2892655,2026-09-25T07:59:27Z,2026-09-25T08:01:21Z,0 1 2 3 4 5 6 7
2892656,2026-09-25T07:59:27Z,2026-09-25T08:01:21Z,0 1 2 3 4 5 6 7
2892657,2026-09-25T07:59:27Z,2026-09-25T08:01:21Z,0 1 2 3 4 5 6 7
2892658,2026-09-25T07:59:27Z,2026-09-25T08:01:21Z,0 1 2 3 4 5 6 7
2902285,2026-09-25T08:00:29Z,2026-09-25T08:00:29Z,0 1 2 3 4 5 6 7
2911268,2026-09-25T08:01:32Z,2026-09-25T08:03:37Z,0 1 2 3 4 5 6 7
2912201,2026-09-25T08:01:42Z,2026-09-25T08:03:32Z,0 1 2 3 4 5 6 7
2912203,2026-09-25T08:01:42Z,2026-09-25T08:03:32Z,0 1 2 3 4 5 6 7
2912204,2026-09-25T08:01:42Z,2026-09-25T08:03:32Z,0 1 2 3 4 5 6 7
2912206,2026-09-25T08:01:42Z,2026-09-25T08:03:32Z,0 1 2 3 4 5 6 7
2912207,2026-09-25T08:01:42Z,2026-09-25T08:03:32Z,0 1 2 3 4 5 6 7
2939182,2026-09-25T08:03:48Z,2026-09-25T08:05:58Z,0 1 2 3 4 5 6 7
2941272,2026-09-25T08:03:48Z,2026-09-25T08:03:48Z,0 1 2 3 4 5 6 7
2942182,2026-09-25T08:03:53Z,2026-09-25T08:05:53Z,0 1 2 3 4 5 6 7
2942183,2026-09-25T08:03:53Z,2026-09-25T08:05:53Z,0 1 2 3 4 5 6 7
2942184,2026-09-25T08:03:53Z,2026-09-25T08:05:53Z,0 1 2 3 4 5 6 7
2942185,2026-09-25T08:03:53Z,2026-09-25T08:05:53Z,0 1 2 3 4 5 6 7
2942186,2026-09-25T08:03:53Z,2026-09-25T08:05:53Z,0 1 2 3 4 5 6 7
2956218,2026-09-25T08:04:51Z,2026-09-25T08:04:51Z,0 1 2 3 4 5 6 7
2956219,2026-09-25T08:04:51Z,2026-09-25T08:04:51Z,0 1 2 3 4 5 6 7
2966998,2026-09-25T08:06:09Z,2026-09-25T08:08:19Z,0 1 2 3 4 5 6 7
2967758,2026-09-25T08:06:14Z,2026-09-25T08:08:13Z,0 1 2 3 4 5 6 7
2967759,2026-09-25T08:06:14Z,2026-09-25T08:08:13Z,0 1 2 3 4 5 6 7
2967760,2026-09-25T08:06:14Z,2026-09-25T08:08:13Z,0 1 2 3 4 5 6 7
2967761,2026-09-25T08:06:14Z,2026-09-25T08:08:13Z,0 1 2 3 4 5 6 7
2967762,2026-09-25T08:06:14Z,2026-09-25T08:08:13Z,0 1 2 3 4 5 6 7
2987722,2026-09-25T08:08:24Z,2026-09-25T08:10:34Z,0 1 2 3 4 5 6 7
2988568,2026-09-25T08:08:34Z,2026-09-25T08:10:29Z,0 1 2 3 4 5 6 7
2988569,2026-09-25T08:08:34Z,2026-09-25T08:10:29Z,0 1 2 3 4 5 6 7
2988570,2026-09-25T08:08:34Z,2026-09-25T08:10:29Z,0 1 2 3 4 5 6 7
2988571,2026-09-25T08:08:34Z,2026-09-25T08:10:29Z,0 1 2 3 4 5 6 7
2988572,2026-09-25T08:08:34Z,2026-09-25T08:10:29Z,0 1 2 3 4 5 6 7
2989689,2026-09-25T08:08:34Z,2026-09-25T08:08:34Z,0 1 2 3 4 5 6 7
3006999,2026-09-25T08:10:40Z,2026-09-25T08:13:00Z,0 1 2 3 4 5 6 7
3008008,2026-09-25T08:10:50Z,2026-09-25T08:12:55Z,0 1 2 3 4 5 6 7
3008009,2026-09-25T08:10:50Z,2026-09-25T08:12:55Z,0 1 2 3 4 5 6 7
3008010,2026-09-25T08:10:50Z,2026-09-25T08:12:55Z,0 1 2 3 4 5 6 7
3008011,2026-09-25T08:10:50Z,2026-09-25T08:12:55Z,0 1 2 3 4 5 6 7
3008012,2026-09-25T08:10:50Z,2026-09-25T08:12:55Z,0 1 2 3 4 5 6 7
3029449,2026-09-25T08:13:05Z,2026-09-25T08:15:15Z,0 1 2 3 4 5 6 7
3030230,2026-09-25T08:13:16Z,2026-09-25T08:15:10Z,0 1 2 3 4 5 6 7
3030231,2026-09-25T08:13:16Z,2026-09-25T08:15:10Z,0 1 2 3 4 5 6 7
3030232,2026-09-25T08:13:16Z,2026-09-25T08:15:10Z,0 1 2 3 4 5 6 7
3030233,2026-09-25T08:13:16Z,2026-09-25T08:15:10Z,0 1 2 3 4 5 6 7
3030234,2026-09-25T08:13:16Z,2026-09-25T08:15:10Z,0 1 2 3 4 5 6 7
3031288,2026-09-25T08:13:16Z,2026-09-25T08:13:16Z,0 1 2 3 4 5 6 7
3048380,2026-09-25T08:15:26Z,2026-09-25T08:18:07Z,0 1 2 3 4 5 6 7
3050808,2026-09-25T08:15:31Z,2026-09-25T08:18:02Z,0 1 2 3 4 5 6 7
3050809,2026-09-25T08:15:31Z,2026-09-25T08:18:02Z,0 1 2 3 4 5 6 7
3050810,2026-09-25T08:15:31Z,2026-09-25T08:18:02Z,0 1 2 3 4 5 6 7
3050811,2026-09-25T08:15:31Z,2026-09-25T08:18:02Z,0 1 2 3 4 5 6 7
3050812,2026-09-25T08:15:31Z,2026-09-25T08:18:02Z,0 1 2 3 4 5 6 7
3083308,2026-09-25T08:18:18Z,2026-09-25T08:21:05Z,0 1 2 3 4 5 6 7
3084548,2026-09-25T08:18:18Z,2026-09-25T08:18:18Z,0 1 2 3 4 5 6 7
3084901,2026-09-25T08:18:23Z,2026-09-25T08:20:59Z,0 1 2 3 4 5 6 7
3084902,2026-09-25T08:18:23Z,2026-09-25T08:20:59Z,0 1 2 3 4 5 6 7
3084903,2026-09-25T08:18:23Z,2026-09-25T08:20:59Z,0 1 2 3 4 5 6 7
3084904,2026-09-25T08:18:23Z,2026-09-25T08:20:59Z,0 1 2 3 4 5 6 7
3084905,2026-09-25T08:18:23Z,2026-09-25T08:20:59Z,0 1 2 3 4 5 6 7
