pid,first_utc,last_utc,amd_smi_gpus
507705,2026-09-25T19:48:15Z,2026-09-25T19:48:15Z,0 1 2 3 4 5 6 7
508132,2026-09-25T19:48:20Z,2026-09-25T19:48:20Z,0 1 2 3 4 5 6 7
510284,2026-09-25T19:48:25Z,2026-09-25T19:53:37Z,0 1 2 3 4 5 6 7
511139,2026-09-25T19:48:41Z,2026-09-25T19:53:37Z,0 1 2 3 4 5 6 7
511140,2026-09-25T19:48:41Z,2026-09-25T19:53:37Z,0 1 2 3 4 5 6 7
511141,2026-09-25T19:48:41Z,2026-09-25T19:53:37Z,0 1 2 3 4 5 6 7
511142,2026-09-25T19:48:41Z,2026-09-25T19:53:37Z,0 1 2 3 4 5 6 7
511143,2026-09-25T19:48:41Z,2026-09-25T19:53:37Z,0 1 2 3 4 5 6 7
512754,2026-09-25T19:48:41Z,2026-09-25T19:48:41Z,0 1 2 3 4 5 6 7
558127,2026-09-25T19:53:48Z,2026-09-25T19:55:26Z,0 1 2 3 4 5 6 7
561495,2026-09-25T19:53:58Z,2026-09-25T19:55:26Z,0 1 2 3 4 5 6 7
561496,2026-09-25T19:53:58Z,2026-09-25T19:55:26Z,0 1 2 3 4 5 6 7
561497,2026-09-25T19:53:58Z,2026-09-25T19:55:26Z,0 1 2 3 4 5 6 7
561498,2026-09-25T19:53:58Z,2026-09-25T19:55:26Z,0 1 2 3 4 5 6 7
561499,2026-09-25T19:53:58Z,2026-09-25T19:55:26Z,0 1 2 3 4 5 6 7
563778,2026-09-25T19:54:03Z,2026-09-25T19:54:03Z,0 1 2 3 4 5 6 7
563783,2026-09-25T19:54:03Z,2026-09-25T19:54:03Z,0 1 2 3 4 5 6 7
