pid,first_utc,last_utc,amd_smi_gpus
602138,2026-09-25T19:57:26Z,2026-09-25T20:02:42Z,0 1 2 3 4 5 6 7
605387,2026-09-25T19:57:36Z,2026-09-25T20:02:42Z,0 1 2 3 4 5 6 7
605388,2026-09-25T19:57:36Z,2026-09-25T20:02:42Z,0 1 2 3 4 5 6 7
605389,2026-09-25T19:57:36Z,2026-09-25T20:02:42Z,0 1 2 3 4 5 6 7
605390,2026-09-25T19:57:36Z,2026-09-25T20:02:42Z,0 1 2 3 4 5 6 7
605391,2026-09-25T19:57:36Z,2026-09-25T19:59:41Z,0 1 2 3 4 5 6 7
618125,2026-09-25T19:58:44Z,2026-09-25T19:58:44Z,0 1 2 3 4 5 6 7
618131,2026-09-25T19:58:44Z,2026-09-25T19:58:44Z,0 1 2 3 4 5 6 7
618137,2026-09-25T19:58:44Z,2026-09-25T19:58:44Z,0 1 2 3 4 5 6 7
649844,2026-09-25T20:02:52Z,2026-09-25T20:04:06Z,0 1 2 3 4 5 6 7
650946,2026-09-25T20:03:03Z,2026-09-25T20:04:06Z,0 1 2 3 4 5 6 7
650947,2026-09-25T20:03:03Z,2026-09-25T20:04:06Z,0 1 2 3 4 5 6 7
650948,2026-09-25T20:03:03Z,2026-09-25T20:04:06Z,0 1 2 3 4 5 6 7
650949,2026-09-25T20:03:03Z,2026-09-25T20:04:06Z,0 1 2 3 4 5 6 7
650950,2026-09-25T20:03:03Z,2026-09-25T20:04:06Z,0 1 2 3 4 5 6 7
653664,2026-09-25T20:03:03Z,2026-09-25T20:03:03Z,0 1 2 3 4 5 6 7
