ts,sweep,isl,osl,conc,np,status,out_tps,total_tps,req_tps,accept_len,mean_ttft_ms,median_ttft_ms,mean_tpot_ms,median_tpot_ms,mean_itl_ms,mean_e2e_ms,median_e2e_ms,gen_tok,retok_div_pct,duration_s,bench_s
2026-07-29T23:30:51+00:00,A,128,1024,1,4,OK,97.6,109.8,0.0953,2.328,180.47,181.23,10.07,9.92,10.84,10482.41,10324.88,4096,7.178,41.97,56
2026-07-29T23:31:48+00:00,A,1024,1024,1,4,OK,101.92,203.83,0.0995,2.514,178.85,179.15,9.64,9.05,9.74,10038.58,9441.45,4096,1.074,40.19,55
2026-07-29T23:32:50+00:00,A,4096,1024,1,4,OK,89.3,446.5,0.0872,2.466,365.49,365.28,10.84,10.6,10.88,11457.33,11207.84,4096,0.439,45.87,60
2026-07-29T23:34:01+00:00,A,8192,1024,1,4,OK,74.29,668.64,0.0726,2.339,636.14,636.33,12.84,12.48,12.92,13772.83,13400.04,4096,0.806,55.13,69
2026-07-29T23:35:45+00:00,A,16384,1024,1,4,OK,47.92,814.64,0.0468,1.892,1293.42,1329.14,19.61,19.26,20.11,21356.41,21037.46,4096,2.539,85.48,102
2026-07-29T23:38:17+00:00,A,32768,1024,1,4,OK,31.02,1023.58,0.0303,1.741,3125.47,3166.65,29.2,29.52,29.99,32997.78,33371.65,4096,2.71,132.05,150
2026-07-29T23:42:58+00:00,A,65536,1024,1,4,OK,16.04,1042.55,0.0157,1.44,8189.55,8240.8,54.38,55.3,55.09,63820.78,64712.45,4096,1.465,255.37,279
2026-07-29T23:43:19+00:00,B,1024,128,1,4,OK,107.03,963.23,0.8361,3.038,178.04,176.4,7.95,8.04,7.95,1187.3,1198.33,512,0,4.78,19
2026-07-29T23:43:55+00:00,B,1024,512,1,4,OK,106.88,320.65,0.2088,2.658,177.76,176.69,9.01,8.81,9.04,4781.54,4683.01,2048,0.342,19.16,34
2026-07-29T23:45:28+00:00,B,1024,2048,1,4,OK,106.62,159.93,0.0521,2.644,178.99,178.84,9.29,9.42,9.37,19199.44,19470.74,8192,0.842,76.84,91
2026-07-29T23:48:40+00:00,B,1024,4096,1,4,OK,93.47,116.84,0.0228,2.392,179.49,179.75,10.66,10.46,12.3,43812.24,43019.88,16384,13.422,175.29,190
