context,input_tokens,block,component,us_per_step,pct_of_block
4k,4096,other,_ZN5aiter24add_rmsnorm_quant_kernelIDF16bDF16bLi256ELi32ELb0,743.3,57.60
4k,4096,other,"void at::native::vectorized_elementwise_kernel<8, at::native",348.6,27.02
4k,4096,other,Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT256x16x128_MI,52.7,4.09
4k,4096,other,Memcpy DtoD (Device -> Device),51.2,3.97
4k,4096,other,"void at::native::index_elementwise_kernel<128, 4, at::native",20.1,1.56
4k,4096,other,"void at::native::vectorized_elementwise_kernel<4, at::native",17.5,1.36
4k,4096,other,"void at::native::elementwise_kernel_manual_unroll<128, 4, at",13.1,1.02
4k,4096,other,"void aiter::greedy_sample_kernel<float, 1024, 16>(float cons",12.9,1.00
4k,4096,other,create_flashinfer_kv_indices_triton,7.1,0.55
4k,4096,other,get_num_kv_splits_triton,4.2,0.32
4k,4096,other,void (anonymous namespace)::elementwise_kernel_with_index<in,4.1,0.32
4k,4096,other,_vocab_parallel_embedding_kernel,4.1,0.31
4k,4096,other,void at::native::(anonymous namespace)::multi_tensor_apply_k,3.9,0.30
4k,4096,other,void rocprim::ROCPRIM_400200_NS::detail::trampoline_kernel<r,3.8,0.30
4k,4096,other,void (anonymous namespace)::clamp_position_kernel<long>(long,3.7,0.29
4k,4096,moe,shared_expert_gemms,3837.9,36.38
4k,4096,moe,route_sort,2956.4,28.03
4k,4096,moe,misc,2316.9,21.96
4k,4096,moe,expert_gemms,1437.3,13.63
4k,4096,kda,projections,2235.2,63.10
4k,4096,kda,recurrent_state_update,447.3,12.63
4k,4096,kda,conv_short,297.2,8.39
4k,4096,kda,misc,294.5,8.31
4k,4096,kda,gated_out_norm,268.1,7.57
4k,4096,full_attn,projections,1029.2,33.20
4k,4096,full_attn,split_reduce_stage2,904.8,29.19
4k,4096,full_attn,misc,858.5,27.69
4k,4096,full_attn,kv_scan_stage1,307.6,9.92
4k,4096,attn_residual,_score_kernel,1500.4,65.59
4k,4096,attn_residual,_combine_kernel,787.3,34.41
32k,32768,other,_ZN5aiter24add_rmsnorm_quant_kernelIDF16bDF16bLi256ELi32ELb0,744.2,56.10
32k,32768,other,"void at::native::vectorized_elementwise_kernel<8, at::native",349.0,26.31
32k,32768,other,Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT256x16x128_MI,52.7,3.98
32k,32768,other,Memcpy DtoD (Device -> Device),51.2,3.86
32k,32768,other,create_flashinfer_kv_indices_triton,40.8,3.07
32k,32768,other,"void at::native::index_elementwise_kernel<128, 4, at::native",20.4,1.54
32k,32768,other,"void at::native::vectorized_elementwise_kernel<4, at::native",18.1,1.37
32k,32768,other,"void at::native::elementwise_kernel_manual_unroll<128, 4, at",13.8,1.04
32k,32768,other,"void aiter::greedy_sample_kernel<float, 1024, 16>(float cons",12.8,0.97
32k,32768,other,void (anonymous namespace)::elementwise_kernel_with_index<in,4.0,0.30
32k,32768,other,_vocab_parallel_embedding_kernel,4.0,0.30
32k,32768,other,get_num_kv_splits_triton,4.0,0.30
32k,32768,other,void at::native::(anonymous namespace)::multi_tensor_apply_k,4.0,0.30
32k,32768,other,void (anonymous namespace)::clamp_position_kernel<long>(long,3.9,0.29
32k,32768,other,void rocprim::ROCPRIM_400200_NS::detail::trampoline_kernel<r,3.7,0.28
32k,32768,moe,shared_expert_gemms,3842.9,36.37
32k,32768,moe,route_sort,2963.5,28.05
32k,32768,moe,misc,2322.0,21.98
32k,32768,moe,expert_gemms,1438.2,13.61
32k,32768,kda,projections,2240.1,63.10
32k,32768,kda,recurrent_state_update,449.0,12.65
32k,32768,kda,conv_short,297.9,8.39
32k,32768,kda,misc,294.6,8.30
32k,32768,kda,gated_out_norm,268.5,7.56
32k,32768,full_attn,split_reduce_stage2,1206.9,29.78
32k,32768,full_attn,projections,1023.2,25.25
32k,32768,full_attn,kv_scan_stage1,976.5,24.10
32k,32768,full_attn,misc,846.0,20.88
32k,32768,attn_residual,_score_kernel,1502.9,65.49
32k,32768,attn_residual,_combine_kernel,791.9,34.51
64k,65536,other,_ZN5aiter24add_rmsnorm_quant_kernelIDF16bDF16bLi256ELi32ELb0,743.9,54.60
64k,65536,other,"void at::native::vectorized_elementwise_kernel<8, at::native",348.8,25.60
64k,65536,other,create_flashinfer_kv_indices_triton,79.3,5.82
64k,65536,other,Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT256x16x128_MI,52.7,3.87
64k,65536,other,Memcpy DtoD (Device -> Device),50.8,3.73
64k,65536,other,"void at::native::index_elementwise_kernel<128, 4, at::native",20.1,1.48
64k,65536,other,"void at::native::vectorized_elementwise_kernel<4, at::native",17.6,1.29
64k,65536,other,"void at::native::elementwise_kernel_manual_unroll<128, 4, at",13.0,0.96
64k,65536,other,"void aiter::greedy_sample_kernel<float, 1024, 16>(float cons",13.0,0.95
64k,65536,other,get_num_kv_splits_triton,4.0,0.30
64k,65536,other,void (anonymous namespace)::elementwise_kernel_with_index<in,4.0,0.29
64k,65536,other,_vocab_parallel_embedding_kernel,3.9,0.29
64k,65536,other,void at::native::(anonymous namespace)::multi_tensor_apply_k,3.9,0.29
64k,65536,other,void rocprim::ROCPRIM_400200_NS::detail::trampoline_kernel<r,3.7,0.27
64k,65536,other,void (anonymous namespace)::clamp_position_kernel<long>(long,3.6,0.27
64k,65536,moe,shared_expert_gemms,3836.2,36.37
64k,65536,moe,route_sort,2958.9,28.05
64k,65536,moe,misc,2313.6,21.93
64k,65536,moe,expert_gemms,1438.7,13.64
64k,65536,kda,projections,2233.0,63.15
64k,65536,kda,recurrent_state_update,445.4,12.60
64k,65536,kda,conv_short,296.9,8.40
64k,65536,kda,misc,291.8,8.25
64k,65536,kda,gated_out_norm,268.9,7.60
64k,65536,full_attn,kv_scan_stage1,1531.6,31.87
64k,65536,full_attn,split_reduce_stage2,1410.8,29.35
64k,65536,full_attn,projections,1019.6,21.22
64k,65536,full_attn,misc,844.1,17.56
64k,65536,attn_residual,_score_kernel,1491.6,65.39
64k,65536,attn_residual,_combine_kernel,789.4,34.61
512k,524288,other,_ZN5aiter24add_rmsnorm_quant_kernelIDF16bDF16bLi256ELi32ELb0,760.0,39.49
512k,524288,other,create_flashinfer_kv_indices_triton,613.3,31.87
512k,524288,other,"void at::native::vectorized_elementwise_kernel<8, at::native",357.4,18.57
512k,524288,other,Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT256x16x128_MI,52.7,2.74
512k,524288,other,Memcpy DtoD (Device -> Device),51.9,2.70
512k,524288,other,"void at::native::index_elementwise_kernel<128, 4, at::native",20.8,1.08
512k,524288,other,"void at::native::vectorized_elementwise_kernel<4, at::native",17.7,0.92
512k,524288,other,"void at::native::elementwise_kernel_manual_unroll<128, 4, at",13.8,0.72
512k,524288,other,"void aiter::greedy_sample_kernel<float, 1024, 16>(float cons",12.8,0.67
512k,524288,other,void (anonymous namespace)::elementwise_kernel_with_index<in,4.3,0.22
512k,524288,other,_vocab_parallel_embedding_kernel,4.1,0.21
512k,524288,other,get_num_kv_splits_triton,4.1,0.21
512k,524288,other,void at::native::(anonymous namespace)::multi_tensor_apply_k,4.0,0.21
512k,524288,other,void rocprim::ROCPRIM_400200_NS::detail::trampoline_kernel<r,3.8,0.20
512k,524288,other,void (anonymous namespace)::clamp_position_kernel<long>(long,3.7,0.19
512k,524288,moe,shared_expert_gemms,3873.7,36.40
512k,524288,moe,route_sort,2968.1,27.89
512k,524288,moe,misc,2362.0,22.19
512k,524288,moe,expert_gemms,1438.5,13.52
512k,524288,kda,projections,2257.7,62.83
512k,524288,kda,recurrent_state_update,458.1,12.75
512k,524288,kda,conv_short,302.7,8.42
512k,524288,kda,misc,298.4,8.30
512k,524288,kda,gated_out_norm,276.6,7.70
512k,524288,full_attn,kv_scan_stage1,9043.0,71.37
