schema_version,provider,provider_detail,operation,m,n,activation_dtype,weight_dtype,weight_mode,eps,cold_compile_ms,cold_compile_reused,median_us,p10_us,p90_us,logical_bytes,logical_gbps,peak_bw_gbps,peak_bw_pct,rotation_buffers,rotation_working_set_bytes,l2_target_bytes,l2_eviction_between_calls,timed_samples
2,quack_tuned,"quack.rmsnorm.rmsnorm_fwd_tuned (CuTe, autotuned)",fwd,1,4096,float16,float16,same,1e-06,9159.742761,False,3.956,3.6856,4.1016,24576,6.212336,4312.724204,0.144047,4,98304,188743680,True,12
2,quack,quack.rmsnorm.rmsnorm_fwd (CuTe),fwd,1,4096,float16,float16,same,1e-06,1.786243,False,3.972,3.756,4.1888,24576,6.187311,4312.724204,0.143466,4,98304,188743680,True,12
2,torch,torch.nn.functional.rms_norm,fwd,1,4096,float16,float16,same,1e-06,,False,9.76,9.6728,10.3072,24576,2.518033,4312.724204,0.058386,4,98304,188743680,True,12
2,quack_tuned,"quack.rmsnorm.rmsnorm_bwd_tuned (CuTe, autotuned)",bwd,1,4096,float16,float16,same,1e-06,33080.705882,False,23.26,22.192001,27.3432,40964,1.761135,4312.724204,0.040836,4,163856,188743680,True,12
2,quack,quack.rmsnorm.rmsnorm_bwd (CuTe),bwd,1,4096,float16,float16,same,1e-06,1.66646,False,22.407999,21.699999,24.100799,40964,1.828097,4312.724204,0.042388,4,163856,188743680,True,12
2,torch,torch.nn.functional.rms_norm autograd,bwd,1,4096,float16,float16,same,1e-06,,False,47.615999,45.7464,53.279199,40964,0.860299,4312.724204,0.019948,4,163856,188743680,True,12
2,quack_tuned,"quack.rmsnorm.rmsnorm_fwd_tuned (CuTe, autotuned)",fwd,1,4096,float16,float32,float32,1e-06,5429.937407,False,3.908,3.7488,4.1712,32768,8.384851,4312.724204,0.194421,4,131072,188743680,True,12
2,quack,quack.rmsnorm.rmsnorm_fwd (CuTe),fwd,1,4096,float16,float32,float32,1e-06,1.52786,False,3.992,3.8488,4.0872,32768,8.208417,4312.724204,0.19033,4,131072,188743680,True,12
2,torch,torch.nn.functional.rms_norm,fwd,1,4096,float16,float32,float32,1e-06,,False,44.896001,37.4888,75.019202,32768,0.729865,4312.724204,0.016924,4,131072,188743680,True,12
2,quack_tuned,"quack.rmsnorm.rmsnorm_bwd_tuned (CuTe, autotuned)",bwd,1,4096,float16,float32,float32,1e-06,29980.80481,False,15.08,14.8088,19.255199,57348,3.802918,4312.724204,0.088179,4,229392,188743680,True,12
2,quack,quack.rmsnorm.rmsnorm_bwd (CuTe),bwd,1,4096,float16,float32,float32,1e-06,1.560166,False,14.908,13.884,18.644799,57348,3.846794,4312.724204,0.089196,4,229392,188743680,True,12
2,torch,torch.nn.functional.rms_norm autograd,bwd,1,4096,float16,float32,float32,1e-06,,False,172.275998,169.606405,176.734401,57348,0.332884,4312.724204,0.007719,4,229392,188743680,True,12
2,quack_tuned,"quack.rmsnorm.rmsnorm_fwd_tuned (CuTe, autotuned)",fwd,1,4096,bfloat16,bfloat16,same,1e-06,5446.69411,False,3.868,3.7368,4.1192,24576,6.353671,4312.724204,0.147324,4,98304,188743680,True,12
2,quack,quack.rmsnorm.rmsnorm_fwd (CuTe),fwd,1,4096,bfloat16,bfloat16,same,1e-06,1.521887,False,3.944,3.756,4.128,24576,6.231237,4312.724204,0.144485,4,98304,188743680,True,12
2,torch,torch.nn.functional.rms_norm,fwd,1,4096,bfloat16,bfloat16,same,1e-06,,False,9.732,9.5464,10.0688,24576,2.525277,4312.724204,0.058554,4,98304,188743680,True,12
2,quack_tuned,"quack.rmsnorm.rmsnorm_bwd_tuned (CuTe, autotuned)",bwd,1,4096,bfloat16,bfloat16,same,1e-06,63933.487456,False,22.423999,21.5472,28.373601,40964,1.826793,4312.724204,0.042358,4,163856,188743680,True,12
2,quack,quack.rmsnorm.rmsnorm_bwd (CuTe),bwd,1,4096,bfloat16,bfloat16,same,1e-06,1.703584,False,23.379999,20.988799,26.748,40964,1.752096,4312.724204,0.040626,4,163856,188743680,True,12
2,torch,torch.nn.functional.rms_norm autograd,bwd,1,4096,bfloat16,bfloat16,same,1e-06,,False,48.988001,46.615999,63.637599,40964,0.836205,4312.724204,0.019389,4,163856,188743680,True,12
2,quack_tuned,"quack.rmsnorm.rmsnorm_fwd_tuned (CuTe, autotuned)",fwd,1,4096,bfloat16,float32,float32,1e-06,5628.899709,False,3.904,3.6912,4.3288,32768,8.393443,4312.724204,0.19462,4,131072,188743680,True,12
2,quack,quack.rmsnorm.rmsnorm_fwd (CuTe),fwd,1,4096,bfloat16,float32,float32,1e-06,2.004577,False,4.012,3.8448,4.1672,32768,8.167498,4312.724204,0.189381,4,131072,188743680,True,12
2,torch,torch.nn.functional.rms_norm,fwd,1,4096,bfloat16,float32,float32,1e-06,,False,37.388001,36.2616,38.317602,32768,0.876431,4312.724204,0.020322,4,131072,188743680,True,12
2,quack_tuned,"quack.rmsnorm.rmsnorm_bwd_tuned (CuTe, autotuned)",bwd,1,4096,bfloat16,float32,float32,1e-06,39218.742615,False,17.316001,14.6928,22.135199,57348,3.31185,4312.724204,0.076793,4,229392,188743680,True,12
2,quack,quack.rmsnorm.rmsnorm_bwd (CuTe),bwd,1,4096,bfloat16,float32,float32,1e-06,1.748863,False,14.84,14.068,21.739999,57348,3.86442,4312.724204,0.089605,4,229392,188743680,True,12
2,torch,torch.nn.functional.rms_norm autograd,bwd,1,4096,bfloat16,float32,float32,1e-06,,False,178.144,175.163995,181.759994,57348,0.321919,4312.724204,0.007464,4,229392,188743680,True,12
2,quack_tuned,"quack.rmsnorm.rmsnorm_fwd_tuned (CuTe, autotuned)",fwd,1,4096,float32,float32,same,1e-06,5259.356456,False,3.916,3.6704,4.0528,49152,12.551583,4312.724204,0.291036,4,196608,188743680,True,12
