rank,block,count,count_per_step,total_us,us_per_step,kernel
0,collective,1520,95.0,831992.9,51999.6,iris_stage_one_shot_allreduce_kernel
0,moe,1472,92.0,425267.4,26579.2,iris_stage_one_shot_allreduce_two_gluon_kernel
0,unclassified,6992,437.0,65643.5,4102.7,_kimi3_projection_gemv_kernel
0,full_attn,1472,92.0,19950.2,1246.9,_stage1_a16w4_situ_warp_gemv
0,gemm,1488,93.0,15597.0,974.8,Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT32x16x128_MI16x16x1_SN_LDSB0_AFC0_AFEM1_AFEM1_ASEM1_CLR0_CADS0_DTLA0_DTLB0_DTVA0_DTVB0_EPS0_FDSI0_GRPM1_GRVWA8_GRVWB8_GSU0_GSUAMB_GLS0_ISA950_IU1_K1_LDSTI0_LBSPPA256_LBSPPB256_LBSPPM0_LPA16_LPB16_LPM0_LRVW8_LWPMn1_MIAV0_MIWT2_1_MO40_NTn1_NTA4_NTB0_NTC0_NTD0_NTM0_NEPBS0_NLCA1_NLCB1_ONLL1_PGR2_PLR0_PKA1_SIA3_SS1_SPO0_SRVW0_SSO0_SVW1_SK3_SKFTR0_SKXCCM8_TLDS1_ULSGRO0_USL1_UIOFGRO0_USFGRO0_VSn1_VWA1_VWB1_WSGRA0_WSGRB0_WS64_WG16_4_4
0,moe,1472,92.0,15066.5,941.7,_kimi3_shared_situ_projection_gemv_kernel
0,unclassified,1472,92.0,14476.9,904.8,_attnres_partial_dual_kernel
0,attn_residual,2960,185.0,13823.4,864.0,_attnres_combine_kernel
0,full_attn,1472,92.0,12626.0,789.1,_stage2_a16w4_warp_gemv_combine
0,moe,1472,92.0,7041.8,440.1,_kimi3_sigmoid_bias_topk_kernel
0,unclassified,1472,92.0,6667.6,416.7,_add3_kernel
0,norm_elem,1488,93.0,6528.4,408.0,_rmsnorm_kernel
0,norm_elem,1376,86.0,6272.1,392.0,"void at::native::vectorized_elementwise_kernel<8, at::native::CUDAFunctor_add<c10::BFloat16>, std::array<char*, 3ul> >(int, at::native::CUDAFunctor_add<c10::BFloat16>, std::array<char*, 3ul>)"
0,unclassified,768,48.0,5620.1,351.3,_rowcta_gemv_kernel
0,collective,32,2.0,5428.9,339.3,ncclDevKernel_Generic_1(ncclDevKernelArgsStorage<4096ul>)
0,kda,1104,69.0,5053.9,315.9,_kda_recurrent_decode_kernel
0,kda,1104,69.0,4977.9,311.1,_causal_conv1d_update_kernel
0,gemm,1104,69.0,4952.7,309.5,Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT16x16x128_MI16x16x1_SN_LDSB0_AFC0_AFEM1_AFEM1_ASEM1_CLR0_CADS0_DTLA0_DTLB0_DTVA0_DTVB0_EPS0_FDSI0_GRPM1_GRVWA8_GRVWB8_GSU0_GSUAMB_GLS0_ISA950_IU1_K1_LDSTI0_LBSPPA256_LBSPPB256_LBSPPM0_LPA16_LPB16_LPM0_LRVW8_LWPMn1_MIAV0_MIWT1_1_MO40_NTn1_NTA4_NTB0_NTC0_NTD0_NTM0_NEPBS0_NLCA1_NLCB1_ONLL1_PGR2_PLR0_PKA1_SIA3_SS1_SPO0_SRVW0_SSO0_SVW1_SK3_SKFTR0_SKXCCM8_TLDS1_ULSGRO0_USL1_UIOFGRO0_USFGRO0_VSn1_VWA1_VWB1_WSGRA0_WSGRB0_WS64_WG16_4_4
0,norm_elem,1104,69.0,4722.6,295.2,_rmsnorm_gated_kernel
0,full_attn,384,24.0,4499.5,281.2,_mla_decode_gluon
0,gemm,384,24.0,4375.3,273.5,Cijk_Ailk_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT128x32x32_MI16x16x1_SN_LDSB0_AFC0_AFEM1_AFEM1_ASEM1_CLR0_CADS0_DTLA0_DTLB0_DTVA0_DTVB0_EPS0_FDSI0_GRPM1_GRVWA8_GRVWB4_GSU0_GSUAMB_GLS0_ISA950_IU1_K1_LDSTI0_LBSPPA2048_LBSPPB128_LBSPPM0_LPA0_LPB16_LPM0_LRVW8_LWPMn1_MIAV0_MIWT4_1_MO40_NTn1_NTA0_NTB0_NTC0_NTD0_NTM0_NEPBS0_NLCA1_NLCB1_ONLL1_PGR2_PLR0_PKA1_SIA3_SS1_SPO0_SRVW0_SSO0_SVW4_SK3_SKFTR0_SKXCCM0_TLDS1_ULSGRO0_USL1_UIOFGRO0_USFGRO0_VSn1_VWA4_VWB1_WSGRA0_WSGRB0_WS64_WG32_8_1
